,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
206,Flying Fish (roller coaster),Thorpe Park,Operating,Mack Rides,1984,51.4052,-0.5139,1/1/1984,Steel,16.8,,0,2.1,206
207,King Cobra (roller coaster),Kings Island,Removed,TOGO,1984,39.345,-84.2659,4/22/1984,Steel,50,,1,,207
208,Sea Serpent (Morey's Piers),Morey's Piers,Operating,Vekoma,1984,38.9858,-74.8097,1/1/1984,Steel,47,,3,5.2,208
209,Steamin' Demon,Great Escape,Operating,Arrow Dynamics,1984,43.3513,-73.6927,5/26/1984,Steel,45,,3,,209
210,Tig'rr Coaster,Indiana Beach,Operating,Anton Schwarzkopf,1984,40.7903,-86.7706,1/1/1984,Steel,31.1,,0,,210
211,Ultra Twister (Nagashima Spa Land),Nagashima Spa Land,Operating,TOGO,1984,35.0285,136.7326,1/1/1989,Steel,,,3,,211
212,La Vibora,Other,,Intamin,1984,,,,Steel,32,,0,,212
213,XLR-8,Six Flags AstroWorld,Removed,Arrow Dynamics,1984,29.6748,-95.4056,5/12/1984,Steel,34.1,,0,,213
214,The Bush Beast,Wonderland Sydney,Removed,Taft Broadcasting,1985,-33.8008,150.8512,12/7/1985,Wood,55.9,90.2,0,,214
215,Disaster Transport,Cedar Point,Removed,Intamin,1985,41.4811,-82.6794,1/1/1985,Steel,40,,0,2.7,215
216,Flashback (Six Flags Magic Mountain),Other,,Intamin,1985,,,,Steel,35,,0,3,216
217,Freestyle (roller coaster),Other,,TOGO,1985,,,,Steel,51,87.9,1,,217
218,Kikkerachtbaan,Duinrell,Operating,Zierer,1985,52.1466,4.379,1/1/1985,Steel,22.4,26.2,0,,218
219,Klondike Gold Mine (roller coaster),Other,,Pinfari,1985,,,,Steel,,,1,,219
220,Shaman (roller coaster),Gardaland,Operating,Vekoma,1985,45.4567,10.7072,1/1/1985,Steel,43.5,,4,,220
221,Mindbender (Galaxyland),Galaxyland,closed for maintenance as of july 30 no reopening date known,Anton Schwarzkopf,1985,53.5236,-113.6203,12/20/1985,Steel,60,145,3,5.2,221
222,Le Monstre,Other,Operating,Martin & Vleminckx,1985,45.525,-73.5333,7/20/1985,Wood,59.7,,0,,222
223,Phoenix (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,1985,40.8783,-76.5064,6/15/1985,Wood,45,,0,,223
224,Steel First,Other,,Allan Herschell Company,1985,,,1/1/1985,Steel,,,0,,224
225,Swiss Bob,Efteling,Removed,Intamin,1985,51.648,5.0474,4/4/1985,Steel,37.3,,0,,225
226,Texas Tornado (roller coaster),Wonderland Park (Texas),Operating,Hopkins Rides,1985,35.2437,-101.8321,1/1/1985,Steel,,,2,,226
227,The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",,,1985,-33.8012,150.8475,,Other,,,0,,227
228,Wild Mouse (Idlewild),Idlewild and Soak Zone,Operating,Vekoma,1985,40.2598,-79.2799,1/1/1985,Steel,30,,0,,228
229,Eureka Mountain Mine Ride,Dreamworld,Removed,HyFab,1986,-27.8626,153.3158,12/11/1986,Steel,29.8,39.4,0,,229
230,The Grizzly,California's Great America,Operating,Kings Island,1986,37.393,-121.9714,1/1/1986,Wood,55,,0,,230
231,Shockwave (Kings Dominion),Kings Dominion,Removed,TOGO,1986,37.8386,-77.4447,3/23/1986,Steel,50,,1,,231
232,Silver Bullet (Frontier City),Other,,Anton Schwarzkopf,1986,,,,Steel,47.8,,1,,232
233,Ultra Twister (Six Flags),Other,,TOGO,1986,,,,Steel,44,,3,,233
234,The Bat (Canada's Wonderland),Other,,,1987,43.8442,-79.5414,,Other,,,0,,234
235,Big Thunder Mountain Railroad (Tokyo Disneyland),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1987,,,,Steel,35,,0,,235
236,Canobie Corkscrew,Canobie Lake Park,Removed,Arrow Development,1987,42.7935,-71.2499,1/1/1975,Steel,45,,2,,236
237,Dreamcatcher (roller coaster),Bobbejaanland,Operating,Vekoma,1987,51.1993,4.909,1/1/1987,Steel,,82,0,,237
238,Iron Dragon (roller coaster),Cedar Point,Operating,Arrow Dynamics,1987,41.4822,-82.6852,6/11/1987,Steel,40,,0,,238
239,Knightmare (Camelot),Other,Removed,Zierer,1987,,,,Other,40,,0,5,239
240,Lisebergbanan,Liseberg,Operating,Zierer,1987,57.695,11.9925,4/18/1987,Steel,49.7,147.6,0,3,240
241,Raptor Attack,Lightwater Valley,Closed in 2021,Anton Schwarzkopf,1987,54.1739,-1.5687,4/2/1987,Steel,40,,0,,241
242,Runaway Train (roller coaster),Chessington World of Adventures,Operating,Mack Rides,1987,51.3494,-0.318,6/7/1987,Steel,22.4,15.4,0,,242
243,Scorpion Express,Chessington World of Adventures,Operating,Mack Rides,1987,51.3494,-0.318,6/7/1987,Steel,22.4,15.4,0,,243
244,Skyliner (roller coaster),Other,,Philadelphia Toboggan Coasters,1987,,,,Wood,40,,0,,244
245,Vortex (Kings Island),Kings Island,Removed,Arrow Dynamics,1987,39.3407,-84.2642,4/11/1987,Steel,55,,6,3.9,245
246,Woodstock's Express (California's Great America),Other,,Intamin,1987,40.5793,-75.5326,,Steel,,,0,,246
247,Avalanche (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Mack Rides,1988,53.7901,-3.0559,6/22/1988,Steel,45,,0,,247
248,Avalanche (Kings Dominion),Kings Dominion,Closed,Mack Rides,1988,37.8401,-77.4407,3/26/1988,Steel,41,,0,3.4,248
249,Bandit (Yomiuriland),Yomiuriland,Operating,TOGO,1988,35.6255,139.5181,3/1/1988,Steel,68.3,,0,,249
250,Beast (Alton Towers),"Alton, Staffordshire, England",,,1988,52.9875,-1.8908,,Other,,,0,,250
251,Boomerang (Six Flags México),Other,,Vekoma,1988,19.2934,-99.2078,,Steel,47,,3,5.2,251
252,Cobra (La Ronde),Other,,Intamin,1988,,,,Steel,48,,1,,252
253,Crazy Bats,Phantasialand,Operating,Vekoma,1988,50.801,6.878,4/1/1988,Steel,28.9,,0,,253
254,Jetline,Gr?na Lund,Operating,Anton Schwarzkopf,1988,59.3231,18.0956,1/1/1988,Steel,55.9,,0,4.5,254
255,Ninja (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1988,34.4222,-118.5983,5/21/1988,Steel,55,,0,2.9,255
256,Raging Wolf Bobs,Geauga Lake,Removed,Dinn Corporation,1988,41.3525,-81.3722,5/28/1988,Wood,50,,0,,256
257,Shockwave (Six Flags Great America),Six Flags Great America,Removed,Arrow Dynamics,1988,42.3712,-87.9343,6/3/1988,Steel,65,,7,,257
258,Thunderbolt Express,Other,,Arrow Dynamics,1988,,,,Steel,45,,1,4,258
259,Wipeout (roller coaster),Pleasurewood Hills,Operating,Vekoma,1988,52.5075,1.7434,1/1/2007,Steel,50,,6,,259
260,Wolverine Wildcat,Michigan's Adventure,Operating,Dinn Corporation,1988,43.3436,-86.2775,5/18/1988,Wood,55,,0,,260
261,Anaconda (Walygator Parc),Walygator Parc,Operating,William Cobb,1989,,,1/1/1989,Other,,,0,,261
262,Eurosat - CanCan Coaster,Europa-Park,Operating,Mack Rides,1989,,,1/1/1989,Steel,37.3,83.7,0,4,262
263,Excalibur (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1989,44.7995,-93.462,1/1/1989,Steel,54.5,,0,3.6,263
264,Flashback (Six Flags Over Texas),Other,,Vekoma,1989,,,,Steel,47,,3,5.2,264
265,Goudurix,Parc Astérix,Operating,Vekoma,1989,49.1314,2.5714,1/1/1989,Steel,55.9,118.1,7,3.9,265
266,Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,Removed,Arrow Dynamics,1989,40.1391,-74.4381,4/15/1989,Steel,68,,7,3.8,266
267,Hercules (roller coaster),Dorney Park & Wildwater Kingdom,Removed,Dinn Corporation,1989,40.5811,-75.5322,5/6/1989,Wood,65,,0,,267
268,Magnum XL-200,Cedar Point,Operating,Arrow Dynamics,1989,41.4853,-82.6861,5/6/1989,Steel,72,,0,,268
269,Ninja (Six Flags St. Louis),Other,,Vekoma,1989,38.5149,-90.6739,,Steel,54.7,,4,,269
270,Olympia Looping,Oktoberfest,Operating,BHS,1989,48.131,11.549,9/17/1989,Steel,52,,5,5.2,270
271,Timber Wolf (roller coaster),Worlds of Fun,Operating,Dinn Corporation,1989,39.1728,-94.4892,4/1/1989,Wood,53,,0,,271
272,Vekoma Illusion,Bobbejaanland,Operating,Vekoma,1989,51.1993,4.909,6/15/1989,Steel,31.1,91.9,0,,272
273,Viper (Six Flags AstroWorld),Other,,Anton Schwarzkopf,1989,,,,Steel,47.8,,1,,273
274,Corkscrew (Silverwood),Other,,Arrow Development,1990,,,,Steel,46,,2,,274
275,Dragon (Adventureland),Adventureland (Iowa),Removed,Hopkins Rides,1990,41.6504,-93.5014,5/12/1990,Steel,55,,2,4.5,275
276,Flashback (Six Flags New England),Other,,Vekoma,1990,,,,Steel,47,,3,5.2,276
277,Iron Wolf (roller coaster),Other,,Bolliger & Mabillard,1990,,,,Steel,55,,2,,277
278,Pikajuna,Linnanm?ki,Operating,Mack Rides,1990,60.1875,24.9381,1/1/1990,Steel,23,23,0,,278
279,Predator (roller coaster),Six Flags Darien Lake,Operating,Dinn Corporation,1990,42.9292,-78.3861,5/25/1990,Wood,50,,0,,279
280,Texas Giant,Six Flags Over Texas,Operating,Rocky Mountain Construction,1990,32.7564,-97.0731,4/22/2011,Steel,65,,0,4.2,280
281,Thunder Looper,Other,Discontinued,Anton Schwarzkopf,1990,,,,Other,,,2,,281
282,Thunder Run (Kentucky Kingdom),Kentucky Kingdom,Operating,Dinn Corporation,1990,38.1956,-85.7475,8/1/1990,Wood,53,,0,,282
283,Tigre de Sibérie,Le Pal,Operating,Reverchon Industries,1990,,,1/1/1990,Steel,24.9,,0,,283
284,Twisted Cyclone,Six Flags Over Georgia,Operating,Rocky Mountain Construction,1990,33.7703,-84.5522,5/25/2018,Steel,50,,3,,284
285,Vampire (roller coaster),Chessington World of Adventures,Operating,Arrow Dynamics,1990,51.3473,-0.3156,4/11/1990,Steel,45,,0,4,285
286,Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1990,34.4208,-118.5953,4/7/1990,Steel,70,,7,4.1,286
287,Adventure Express,Kings Island,Operating,Arrow Dynamics,1991,39.3445,-84.2648,4/13/1991,Steel,35,,0,3.8,287
288,Afterburner (Fun Spot),Fun Spot Amusement Park & Zoo,Removed,Arrow Development,1991,41.6769,-85.0312,1/1/1991,Steel,45,,2,4,288
289,Anaconda (roller coaster),Kings Dominion,Operating,Arrow Dynamics,1991,37.8392,-77.4402,3/23/1991,Steel,50,,4,5.1,289
290,Pegasus (Efteling),Efteling,Removed,Dinn Corporation,1991,51.6469,5.0519,7/1/1991,Wood,34.2,,0,3.5,290
291,Psyclone (roller coaster),Six Flags Magic Mountain,Removed,Dinn Corporation,1991,34.421,-118.6003,3/23/1991,Wood,50,,0,3,291
292,Sidewinder (Hersheypark),Hersheypark,Operating,Vekoma,1991,40.2899,-76.6538,5/11/1991,Steel,47,,6,5.2,292
293,Steel Phantom,Kennywood,Operating,D. H. Morgan Manufacturing,1991,40.389,-79.866,5/10/1991,Steel,85,,0,3.5,293
294,Toboggan (Lakemont Park),Lakemont Park,Removed,Chance Rides,1991,40.4712,-78.3961,1/1/1991,Steel,,,0,,294
295,Turbo Mountain,Adventure World,Removed,Anton Schwarzkopf,1991,-32.0948,115.8164,1/1/1991,Steel,35.4,39.4,0,,295
296,The Ultimate (roller coaster),Lightwater Valley,Closed,British Rail Engineering Limited,1991,54.1739,-1.5687,7/17/1991,Steel,50,,0,,296
297,Vortex (Canada's Wonderland),Canada's Wonderland,Operating,Arrow Dynamics,1991,43.8419,-79.5435,5/12/1991,Steel,55,91.2,0,,297
298,Vortex (Great America),California's Great America,Operating,Bolliger & Mabillard,1991,37.3967,-121.9732,3/9/1991,Steel,45,,2,,298
299,Wildcat (Frontier City),Other,,National Amusement Devices,1991,,,,Wood,46,,0,,299
300,Batman: The Ride,Other,,Bolliger & Mabillard,1992,,,,Steel,50,,5,4,300
301,Blue Hawk (roller coaster),Other,,Vekoma,1992,,,,Steel,52,,5,4,301
302,Cosmic Coaster (Valleyfair),Other,,Zamperla,1992,,,,Steel,15,,0,,302
303,Desert Storm (roller coaster),Castles N' Coasters,Operating,Hopkins Rides,1992,33.5718,-112.1188,1/1/1992,Steel,,,2,,303
304,Drachen Fire,Busch Gardens Williamsburg,Removed,Arrow Dynamics,1992,37.2306,-76.6444,4/4/1992,Steel,60,,5,,304
305,Dragon Coaster (Dorney Park),Other,,Zamperla,1992,,,,Steel,15,,0,,305
306,Eagle Fortress,Everland,Removed,Arrow Dynamics,1992,,,9/8/1992,Steel,40,,0,,306
307,The Great Pumpkin Coaster,"Mason, Ohio, United States",Operating,,1992,39.3448,-84.2686,,Other,,,0,,307
308,Jupiter (roller coaster),Kijima Kogen,Operating,Intamin,1992,33.2617,131.4281,1/1/1992,Wood,56.5,137.8,0,,308
309,Kingdom Coaster,Dutch Wonderland,Operating,Custom Coasters International,1992,40.0295,-76.2173,5/16/1992,Wood,40,,0,,309
310,Pepsi Orange Streak,Nickelodeon Universe,Operating,Zierer,1992,,,8/11/1992,Steel,40,,0,,310
311,Pipeline Express,Boardwalk Fun Park,Removed,"Bailey Rides, Inc.",1992,32.761,-96.997,7/23/1992,Steel,15,,0,,311
312,The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,,,5/25/2013,Steel,70,,1,,312
313,Runaway Mine Train (Alton Towers),Alton Towers,Operating,Mack Rides,1992,52.9897,-1.8856,3/21/1992,Steel,22.4,,0,2.4,313
314,Sierra Tonante,Mirabilandia,Removed,S.D.C.,1992,44.3361,12.2619,1/1/1992,Wood,62.1,,0,4,314
315,Streamliner Coaster,Six Flags Fiesta Texas,Operating,Vekoma,1992,29.5965,-98.6099,3/14/1992,Steel,,,0,,315
316,Vortex (Carowinds),Carowinds,Operating,Bolliger & Mabillard,1992,35.1036,-80.9416,3/14/1992,Steel,50,,2,,316
317,Batman The Escape,Other,,Intamin,1993,,,,Steel,55,,1,3.4,317
318,Bocaraca,Other,,Vekoma,1993,,,,Steel,37.3,,2,,318
319,Canyon Blaster (Adventuredome),Adventuredome,Operating,Arrow Dynamics,1993,36.1381,-115.1664,8/23/1993,Steel,41,,4,3.5,319
320,Cosmic Coaster (Worlds of Fun),Worlds of Fun,Operating,Preston & Barbieri,1993,39.1723,-94.4889,4/3/1993,Steel,,,0,,320
321,Flight Deck (California's Great America),California's Great America,Operating,Bolliger & Mabillard,1993,37.3981,-121.9718,3/20/1993,Steel,50,,3,4.5,321
322,Gadget's Go Coaster,Other,,Vekoma,1993,,,,Steel,21.7,,0,,322
323,Hundeprutterutchebane,BonBon-Land,Operating,Zierer,1993,55.2599,11.8639,1/1/1993,Steel,18.6,14.8,0,,323
324,Indiana Jones et le Temple du Péril,Disneyland Park (Paris),Operating,Intamin,1993,,,7/30/1993,Steel,36,,1,,324
325,Kumba (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1993,28.0397,-82.4231,4/20/1993,Steel,60,,7,3.8,325
326,Lightning Bolt (roller coaster),MGM Grand Adventures Theme Park,Removed,Intamin,1993,,,1/1/1993,Other,35,,0,,326
327,Outlaw (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1993,41.6491,-93.5006,4/24/1993,Wood,48,,0,3.2,327
328,Superman: Krypton Coaster (Six Flags Mexico),Other,In Production,Vekoma,1993,,,,Steel,,,0,,328
329,Thunderation,Silver Dollar City,Operating,Arrow Dynamics,1993,36.6684,-93.3379,4/10/1993,Steel,48,,0,,329
330,Top Gun (Kings Island),Kings Island,Operating,Arrow Dynamics,1993,39.3476,-84.2652,4/9/1993,Steel,51,,0,2.9,330
331,The Comet (Great Escape),Great Escape,Operating,Philadelphia Toboggan Coasters,1994,43.3514,-73.6851,1/1/1948,Wood,55,,0,,331
332,Condor (roller coaster),Walibi Holland,Operating,Vekoma,1994,52.4404,5.7615,5/1/1994,Steel,49.7,101.7,5,4.5,332
333,Corkscrew (Playland),Playland,Removed,Vekoma,1994,49.2839,-123.0357,1/1/1994,Steel,40,,2,,333
334,Desperado (roller coaster),Primm Valley Resorts,Closed,Arrow Dynamics,1994,35.6142,-115.3844,8/11/1994,Steel,80,,0,4,334
335,Diavlo,Himeji Central Park,Operating,Bolliger & Mabillard,1994,34.8755,134.7637,7/1/1994,Steel,48.5,,5,,335
336,Hakugei (roller coaster),Nagashima Spa Land,Operating,Rocky Mountain Construction,1994,35.0303,136.7347,3/28/2019,Steel,66.5,180.4,3,4,336
337,Hoosier Hurricane,Indiana Beach,Operating,Custom Coasters International,1994,40.7903,-86.7706,5/27/1994,Wood,51,,0,,337
338,Hurler (roller coaster),Other,,"International Coasters, Inc.",1994,,,,Wood,50,,0,4.1,338
339,Nemesis (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1994,52.9869,-1.8828,3/19/1994,Steel,50.3,42.7,4,3.5,339
340,Raptor (Cedar Point),Cedar Point,Operating,Bolliger & Mabillard,1994,41.479,-82.6818,5/7/1994,Steel,57,,6,,340
341,Roller Skater (roller coaster),Kentucky Kingdom,Operating,Vekoma,1994,38.1967,-85.7476,4/15/1994,Steel,21.7,,0,,341
342,Shockwave (Drayton Manor),Drayton Manor Theme Park,Operating,Intamin,1994,52.6125,-1.7161,3/26/1994,Steel,53,,4,4,342
343,The Big One (roller coaster),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1994,53.7892,-3.0553,5/28/1994,Steel,74,,0,3.5,343
344,Titan (Space World),Space World,Removed,Arrow Dynamics,1994,33.8748,130.8134,3/5/1994,Steel,71.5,,0,3.7,344
345,White Canyon (roller coaster),Yomiuriland,Removed,TOGO,1994,35.6258,139.5214,4/9/1994,Wood,52.4,,0,3.5,345
346,Zach's Zoomer,Michigan's Adventure,Operating,Custom Coasters International,1994,43.3434,-86.2809,7/22/1994,Wood,,,0,,346
347,Arkham Asylum – Shock Therapy,Warner Bros. Movie World,SBNO December 2019,Vekoma,1995,-27.9083,153.3119,12/26/1995,Steel,54.7,109.3,5,4,347
348,Back at the Barnyard Hayride,Nickelodeon Universe,Operating,Zamperla,1995,44.8542,-93.2422,1/1/1995,Steel,,,0,,348
349,The Gold Coaster,Other,,Arrow Dynamics,1995,,,,Steel,52.8,131.2,2,3,349
350,Cactus Coaster,Other,,Allan Herschell Company,1995,,,,Steel,,,0,,350
351,Cannonball Express (roller coaster),Pleasurewood Hills,Operating,Anton Schwarzkopf,1995,52.5062,1.7451,1/1/1995,Steel,34,,0,,351
352,Cannonball Run (roller coaster),Waterville USA,Removed,Custom Coasters International,1995,30.2585,-87.6859,1/1/1995,Wood,43,,0,,352
353,Comet Express,Other,,,1995,,,,Other,,,0,,353
354,Cyclops (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1995,43.6161,-89.7897,1/1/1995,Wood,58,,0,4.2,354
355,Dragon Khan,PortAventura Park,Operating,Bolliger & Mabillard,1995,41.0875,1.1608,5/2/1995,Steel,65,148,8,4,355
356,Eurostar (roller coaster),Other,,Intamin,1995,,,,Steel,50.2,,4,5.2,356
357,Flight Deck (Canada's Wonderland),Canada's Wonderland,Operating,Vekoma,1995,43.8412,-79.539,1/1/1995,Steel,49.7,109.3,5,,357
358,The Great Nor'easter,Morey's Piers,Operating,Vekoma,1995,38.9893,-74.8023,5/26/1995,Steel,55,,5,,358
359,Jaguar!,Knott's Berry Farm,Operating,Zierer,1995,33.8458,-117.9992,6/17/1995,Steel,35,,0,,359
360,The Raven (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,1995,38.1194,-86.9152,5/6/1995,Wood,50,,0,,360
361,Sidewinder (Elitch Gardens),Other,,Arrow Dynamics,1995,,,,Steel,45,,1,4,361
362,Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,1995,48.8741,2.7793,5/7/2017,Steel,44,,3,,362
363,Space Shuttle (roller coaster),Enchanted Kingdom,Operating,Vekoma,1995,14.2819,121.0954,7/28/1995,Steel,47,,3,5.2,363
364,T2 (roller coaster),Kentucky Kingdom,Operating,Vekoma,1995,38.1941,-85.747,4/8/1995,Steel,49.7,,5,,364
365,Twister II,Elitch Gardens,Operating,Hensel Phelps Construction,1995,39.7464,-105.0144,5/27/1995,Wood,55,,0,3.1,365
366,Viper (Six Flags Great Adventure),Six Flags Great Adventure,Removed,TOGO,1995,40.139,-74.435,6/2/1995,Steel,48,,2,,366
367,Viper (Six Flags Great America),Six Flags Great America,Operating,Six Flags,1995,42.3681,-87.9372,4/29/1995,Wood,50,,0,3.6,367
368,Viper (Six Flags Over Georgia),Other,Discontinued,Anton Schwarzkopf,1995,,,,Other,,,2,,368
369,Backyardigans: Mission to Mars,Movie Park Germany,Operating,Vekoma,1996,51.6198,6.976,6/30/1996,Steel,21.7,27.9,0,,369
370,The Barnstormer,Magic Kingdom,Operating,Vekoma,1996,28.4205,-81.5784,10/1/1996,Steel,25,29.9,0,,370
371,Colorado Adventure,Phantasialand,Operating,Vekoma,1996,50.7987,6.8815,5/11/1996,Steel,31.1,,0,,371
372,Flight of Fear,Other,,Premier Rides,1996,,,,Steel,54,,4,4.5,372
373,Fujiyama (roller coaster),Fuji-Q Highland,Operating,TOGO,1996,35.4859,138.777,7/1/1996,Steel,81,,0,3.5,373
374,The Great White (Morey's Piers),Morey's Piers,Operating,Custom Coasters International,1996,38.9865,-74.8107,6/10/1996,Wood,50,,0,,374
375,High Roller (Stratosphere),Stratosphere Tower,Removed,S&MC,1996,36.1474,-115.1554,4/29/1996,Steel,30,,0,2,375
376,Megafobia,Oakwood Theme Park,Operating,Custom Coasters International,1996,51.7807,-4.8056,4/30/1996,Wood,48,,0,2.75,376
377,Montu (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1996,28.0347,-82.4175,5/16/1996,Steel,60,,7,3.8,377
378,Pegasus (Mt. Olympus Water and Theme Park),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1996,43.614,-89.7898,1/1/1996,Wood,40,,0,,378
379,Rougarou (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,1996,41.4826,-82.6874,5/9/2015,Steel,60,,4,,379
380,Runaway Mountain,"Arlington, Texas, U.S.",Operating,,1996,32.7557,-97.0702,,Other,,,0,,380
381,Santa Monica West Coaster,Pacific Park,Operating,D. H. Morgan Manufacturing,1996,,,5/25/1996,Steel,35,,0,,381
382,Skull Mountain,Six Flags Great Adventure,Operating,Intamin,1996,40.1346,-74.4419,6/3/1996,Steel,33,,0,2.3,382
383,The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,Operating,Vekoma,1996,28.4205,-81.5784,10/1/1996,Steel,25,29.9,0,,383
384,The Joker's Revenge,Other,,Vekoma,1996,,,,Steel,40,,3,3.5,384
385,The Mind Eraser (Geauga Lake),Other,,Vekoma,1996,,,,Steel,47,,6,5.2,385
386,The Walking Dead: The Ride,Thorpe Park Resort,Operating,Vekoma,1996,51.4036,-0.5132,3/23/1996,Steel,27.7,,0,2.4,386
387,Timber Terror,Silverwood Theme Park,Operating,Custom Coasters International,1996,47.9044,-116.7094,1/1/1996,Wood,55,,0,,387
388,The Underground (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1996,,,4/27/1996,Wood,,,0,,388
389,Wild Thing (Valleyfair),Valleyfair,Operating,D. H. Morgan Manufacturing,1996,44.7986,-93.4587,5/11/1996,Steel,75,,0,4.1,389
390,Wildcat (Hersheypark),Hersheypark,Operating,Great Coasters International,1996,40.2925,-76.6558,5/26/1996,Wood,50,,0,3.5,390
391,Wilde maus,Other,,Mack Rides,1996,,,,Steel,28,,0,,391
392,Alpengeist,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1997,37.2328,-76.6476,3/22/1997,Steel,67,,6,3.7,392
393,Boomerang: Coast to Coaster,Other,,Vekoma,1997,,,,Steel,47,,3,5.2,393
394,Chang (roller coaster),Other,,Bolliger & Mabillard,1997,,,,Steel,63,,5,,394
395,Euro-Mir,Europa-Park,Operating,Mack Rides,1997,48.2647,7.7197,1/1/1997,Steel,49.7,,0,4,395
396,The Great White (SeaWorld San Antonio),SeaWorld San Antonio,Operating,Bolliger & Mabillard,1997,29.4523,-98.6965,2/1/1997,Steel,50,,5,4.6,396
397,Green Lantern (Six Flags Great Adventure),Other,,Bolliger & Mabillard,1997,,,,Steel,63,,5,,397
398,Invertigo (roller coaster),Other,In Production,Vekoma,1997,,,,Other,50,,3,,398
399,Kiddie Coaster,Lake Compounce,Operating,Molina & Sons,1997,41.6423,-72.9226,6/27/1997,Steel,,,0,,399
400,American Dreier Looping,Other,,Anton Schwarzkopf,1997,,,,Steel,53,,3,4.7,400
401,Pyrenees (roller coaster),Parque Espana-Shima Spain Village,Operating,Bolliger & Mabillard,1997,34.3598,136.845,1/1/1997,Steel,62.1,147.6,6,,401
402,Road Runner Express (Six Flags Fiesta Texas),Six Flags Fiesta Texas,Operating,Arrow Dynamics,1997,29.5991,-98.613,5/1/1997,Steel,35,,0,3,402
403,Big Apple Coaster,New York-New York Hotel and Casino,Operating,TOGO,1997,36.1019,-115.1736,1/3/1997,Steel,67,,2,,403
404,Skytrak,Granada Studios Tour,Removed,Skytrak International,1997,53.4781,-2.2571,10/1/1997,Steel,28,,0,2.5,404
405,Stampida,Other,Operating,Custom Coasters International,1997,41.0904,1.1566,3/17/1997,Wood,46,,0,,405
406,Steel Force,Dorney Park & Wildwater Kingdom,Operating,D. H. Morgan Manufacturing,1997,40.5789,-75.5381,5/30/1997,Steel,75,,0,3.4,406
407,Superman: Escape from Krypton,Other,Operating,Intamin,1997,34.425,-118.598,3/15/1997,Steel,100,,0,4.5,407
408,Tonnerre de Zeus,Parc Astérix,Operating,Custom Coasters International,1997,49.1314,2.5739,1/1/1997,Wood,52,,0,,408
409,Tower of Terror II,Dreamworld,Removed,Intamin,1997,-27.8641,153.3174,1/23/1997,Steel,100,377.3,0,4.5,409
410,Windjammer Surf Racers,Other,Removed,TOGO,1997,33.8458,-118.0008,3/26/1997,Steel,40,,1,,410
411,Zeus (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,1997,43.6167,-89.7892,6/7/1997,Wood,60,,0,,411
412,Zoomerang (Lake Compounce),Lake Compounce,Operating,Vekoma,1997,41.643,-72.9229,6/27/1997,Steel,47,,3,5.2,412
413,Batman & Robin: The Chiller,Other,Removed,Premier Rides,1998,,,4/4/1998,Steel,65,,1,5,413
414,Blue Tornado (roller coaster),Gardaland,Operating,Vekoma,1998,45.4566,10.7137,1/1/1998,Steel,49.7,,5,4.5,414
415,Doo Wopper,Morey's Piers,Operating,Zamperla,1998,38.9892,-74.803,8/7/1998,Steel,,,0,,415
416,Excalibur (Funtown Splashtown USA),Funtown Splashtown USA,Operating,Custom Coasters International,1998,43.5283,-70.4312,1/1/1998,Wood,55,,0,,416
417,GhostRider (roller coaster),Knott's Berry Farm,Operating,Custom Coasters International,1998,33.8426,-117.9981,12/8/1998,Wood,56,,0,3.1,417
418,Great Bear (roller coaster),Hersheypark,Operating,Bolliger & Mabillard,1998,40.2869,-76.6531,5/23/1998,Steel,58,,4,,418
419,Invertigo (California's Great America),Other,In Production,Vekoma,1998,,,,Other,50,,3,,419
420,Journey to Atlantis,SeaWorld Orlando,Operating,Mack Rides,1998,,,4/17/1998,Steel,,,0,,420
