,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
859,Thunderbolt (2014 roller coaster),Luna Park,Operating,Zamperla,2014,40.5735,-73.9826,6/14/2014,Steel,56,,4,4.3,859
860,Twist Coaster Robin,Yomiuriland,Removed,Sansei Technologies,2014,35.6253,139.5194,3/19/2014,Steel,38.5,62.3,2,3.9,860
861,Wonder Mountain's Guardian,Canada's Wonderland,Operating,Art Engineering,2014,43.84,-79.54,5/24/2014,Steel,,60,0,,861
862,Zimerman (roller coaster),Other,,Arrow Dynamics,2014,,,,Steel,55,,3,,862
863,Acrobat (roller coaster),Nagashima Spa Land,Operating,Bolliger & Mabillard,2015,,,7/18/2015,Steel,55.9,,4,,863
864,Baron 1898,Efteling,Operating,Bolliger & Mabillard,2015,51.6482,5.0508,7/1/2015,Steel,55.9,98.4,2,,864
865,Batman: The Ride (S&S Free Spin),Other,,S&S – Sansei Technologies,2015,,,,Steel,38,,6,,865
866,Cannibal (roller coaster),Lagoon,Operating,Lagoon Corporation,2015,40.9874,-111.8955,7/2/2015,Steel,70,,4,4.2,866
867,Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,35.1055,-80.9425,3/28/2015,Steel,95,,0,,867
868,Harpy (Xishuangbanna Theme Park),Xishuangbanna Theme Park,Closed,Bolliger & Mabillard,2015,22.0277,100.742,9/26/2015,Steel,52.8,,2,,868
869,Impulse (roller coaster),Knoebels Amusement Resort,Operating,Zierer,2015,40.8798,-76.5018,4/25/2015,Steel,55,,4,,869
870,Jumbo Jet (Chelyuskintsev Park),Other,,Anton Schwarzkopf,2015,,,,Steel,,,0,,870
871,Junker (roller coaster),PowerPark,Operating,Gerstlauer,2015,63.2309,22.8555,5/30/2015,Steel,64.9,,3,4.5,871
872,Laff Trakk,Hersheypark,Operating,Maurer AG,2015,40.2935,-76.6551,5/23/2015,Steel,40,,0,,872
873,Oblivion: The Black Hole,Gardaland,Operating,Bolliger & Mabillard,2015,45.4582,10.7111,3/28/2015,Steel,62.2,,2,,873
874,Octonauts Rollercoaster Adventure,Alton Towers,Operating,Zamperla,2015,,,3/21/2015,Steel,,,0,,874
875,Puss in Boots' Giant Journey,Universal Studios Singapore,Operating,Zamperla,2015,1.2545,103.8245,4/8/2015,Steel,,55.8,0,,875
876,Rewind Racers,Adventure City,Operating,Gerstlauer,2015,33.8151,-117.993,6/6/2015,Steel,31.1,,0,,876
